variant,m,k,load_factor,n,insert_throughput_eps,query_throughput_eps,fpr,insert_energy_mj,query_energy_mj
pim-v3,8388608,3,0.2500,2097152,2119585695.00,2194148733.04,0.156799,4.1199,3.8588
pim-v3,8388608,5,0.0625,524288,1162142931.56,1255734524.51,0.002062,1.9178,1.6567
pim-v3,8388608,5,0.1250,1048576,1323792450.45,1382475671.64,0.024566,3.3824,3.1213
pim-v3,8388608,5,0.2500,2097152,1422738420.31,1455951124.69,0.190623,6.3116,6.0505
pim-v3,8388608,7,0.0625,524288,915998099.13,973167218.57,0.000975,2.4662,2.2051
pim-v3,8388608,7,0.1250,1048576,1013649686.41,1047705356.85,0.025012,4.4785,4.2174
pim-v3,8388608,7,0.2500,2097152,1070723377.71,1089425648.84,0.266529,8.5033,8.2422
pim-v3,67108864,3,0.0625,4194304,1589844533.27,1770350591.80,0.007485,10.9479,8.8592
pim-v3,67108864,3,0.1250,8388608,1907857697.96,2032182613.79,0.036929,18.2827,16.1940
pim-v3,67108864,3,0.2500,16777216,2119875207.33,2194461270.42,0.157140,32.9523,30.8635
pim-v3,67108864,5,0.0625,4194304,1162727660.07,1256417253.67,0.002112,15.3306,13.2419
pim-v3,67108864,5,0.1250,8388608,1324170259.41,1382889548.30,0.024888,27.0474,24.9587
pim-v3,67108864,5,0.2500,16777216,1422957917.98,1456179979.69,0.190808,50.4811,48.3923
pim-v3,67108864,7,0.0625,4194304,916505696.17,973740172.76,0.001029,19.7133,17.6246
pim-v3,67108864,7,0.1250,8388608,1013960650.83,1048036523.20,0.025068,35.8122,33.7234
pim-v3,67108864,7,0.2500,16777216,1070896563.20,1089604866.96,0.266425,68.0099,65.9211
