hash_scheme,variant,m,k,load_factor,n,insert_throughput_eps,query_throughput_eps,fpr,insert_energy_mj,query_energy_mj
murmur3,cpu,1048576,5,0.2500,262144,46787925.99,32471997.45,0.185848,0.0000,0.0000
murmur3,cpu,1048576,7,0.0625,65536,36885033.69,24040988.83,0.000519,0.0000,0.0000
murmur3,cpu,1048576,7,0.1250,131072,38443083.28,24811479.55,0.023026,0.0000,0.0000
murmur3,cpu,1048576,7,0.2500,262144,38275259.66,25246502.13,0.263954,0.0000,0.0000
murmur3,cpu,8388608,3,0.0625,524288,30857705.52,24408841.39,0.005144,0.0000,0.0000
murmur3,cpu,8388608,3,0.1250,1048576,38025260.87,24940859.84,0.030930,0.0000,0.0000
murmur3,cpu,8388608,3,0.2500,2097152,39356343.53,22008930.53,0.147609,0.0000,0.0000
murmur3,cpu,8388608,5,0.0625,524288,28757683.52,19860627.71,0.001577,0.0000,0.0000
murmur3,cpu,8388608,5,0.1250,1048576,29878592.57,19364373.44,0.021894,0.0000,0.0000
murmur3,cpu,8388608,5,0.2500,2097152,30747423.01,19322522.41,0.185433,0.0000,0.0000
murmur3,cpu,8388608,7,0.0625,524288,20016736.86,12223321.82,0.000982,0.0000,0.0000
murmur3,cpu,8388608,7,0.1250,1048576,20548861.97,12532233.65,0.023427,0.0000,0.0000
murmur3,cpu,8388608,7,0.2500,2097152,19226748.52,13359994.31,0.263697,0.0000,0.0000
murmur3,cpu,67108864,3,0.0625,4194304,15447431.75,9747687.54,0.006189,0.0000,0.0000
murmur3,cpu,67108864,3,0.1250,8388608,15455807.77,9682017.72,0.032664,0.0000,0.0000
murmur3,cpu,67108864,3,0.2500,16777216,15628596.98,9822884.48,0.149699,0.0000,0.0000
murmur3,cpu,67108864,5,0.0625,4194304,9379149.09,6623880.32,0.003008,0.0000,0.0000
murmur3,cpu,67108864,5,0.1250,8388608,9316863.04,6626582.97,0.025227,0.0000,0.0000
murmur3,cpu,67108864,5,0.2500,16777216,9296740.87,6628122.13,0.189449,0.0000,0.0000
murmur3,cpu,67108864,7,0.0625,4194304,6598064.14,5268374.24,0.002677,0.0000,0.0000
murmur3,cpu,67108864,7,0.1250,8388608,6575962.41,5286576.49,0.027904,0.0000,0.0000
murmur3,cpu,67108864,7,0.2500,16777216,6638004.91,5275884.14,0.268098,0.0000,0.0000
xor-shift,cpu,1048576,3,0.0625,65536,69562633.01,46000150.21,0.069992,0.0000,0.0000
xor-shift,cpu,1048576,3,0.1250,131072,67965635.54,47107109.81,0.150826,0.0000,0.0000
xor-shift,cpu,1048576,3,0.2500,262144,66771965.78,45861682.27,0.317509,0.0000,0.0000
xor-shift,cpu,1048576,5,0.0625,65536,48999757.75,33628433.92,0.066223,0.0000,0.0000
xor-shift,cpu,1048576,5,0.1250,131072,50691226.42,33272240.81,0.147850,0.0000,0.0000
xor-shift,cpu,1048576,5,0.2500,262144,51441614.83,33265058.99,0.355667,0.0000,0.0000
xor-shift,cpu,1048576,7,0.0625,65536,41764355.38,25844982.16,0.063492,0.0000,0.0000
xor-shift,cpu,1048576,7,0.1250,131072,40663676.17,25817120.98,0.148651,0.0000,0.0000
xor-shift,cpu,1048576,7,0.2500,262144,40507393.17,26505116.06,0.405075,0.0000,0.0000
xor-shift,cpu,8388608,3,0.0625,524288,32541169.74,23024637.01,0.070992,0.0000,0.0000
xor-shift,cpu,8388608,3,0.1250,1048576,33409626.66,23057322.77,0.151753,0.0000,0.0000
xor-shift,cpu,8388608,3,0.2500,2097152,35412787.43,24308717.20,0.318725,0.0000,0.0000
xor-shift,cpu,8388608,5,0.0625,524288,24292287.34,16861018.77,0.066605,0.0000,0.0000
xor-shift,cpu,8388608,5,0.1250,1048576,26810652.83,13672271.57,0.149148,0.0000,0.0000
xor-shift,cpu,8388608,5,0.2500,2097152,23836534.91,17451671.30,0.355693,0.0000,0.0000
xor-shift,cpu,8388608,7,0.0625,524288,21120791.62,12529336.06,0.064302,0.0000,0.0000
xor-shift,cpu,8388608,7,0.1250,1048576,16369163.66,13130004.85,0.148922,0.0000,0.0000
xor-shift,cpu,8388608,7,0.2500,2097152,21753934.40,12801293.41,0.405054,0.0000,0.0000
xor-shift,cpu,67108864,3,0.0625,4194304,15713692.37,9960609.74,0.070463,0.0000,0.0000
xor-shift,cpu,67108864,3,0.1250,8388608,15749666.70,9936672.90,0.151258,0.0000,0.0000
xor-shift,cpu,67108864,3,0.2500,16777216,15749556.14,9945047.06,0.318604,0.0000,0.0000
xor-shift,cpu,67108864,5,0.0625,4194304,9302013.98,6693902.36,0.065887,0.0000,0.0000
xor-shift,cpu,67108864,5,0.1250,8388608,9382794.93,6719006.55,0.148656,0.0000,0.0000
xor-shift,cpu,67108864,5,0.2500,16777216,9360766.22,6722762.10,0.355567,0.0000,0.0000
xor-shift,cpu,67108864,7,0.0625,4194304,6676711.81,5153466.74,0.063707,0.0000,0.0000
xor-shift,cpu,67108864,7,0.1250,8388608,6730118.00,5175699.10,0.148903,0.0000,0.0000
xor-shift,cpu,67108864,7,0.2500,16777216,6799092.92,5171562.70,0.404993,0.0000,0.0000
h3,cpu,1048576,3,0.0625,65536,45752167.85,31530521.62,0.005020,0.0000,0.0000
h3,cpu,1048576,3,0.1250,131072,47130485.12,32509678.10,0.030525,0.0000,0.0000
h3,cpu,1048576,3,0.2500,262144,47261280.00,31685554.14,0.147812,0.0000,0.0000
h3,cpu,1048576,5,0.0625,65536,28987738.07,20658841.00,0.001495,0.0000,0.0000
h3,cpu,1048576,5,0.1250,131072,30018163.61,21264990.48,0.021423,0.0000,0.0000
h3,cpu,1048576,5,0.2500,262144,30106059.82,20596670.48,0.184978,0.0000,0.0000
h3,cpu,1048576,7,0.0625,65536,20849730.88,15353478.37,0.000595,0.0000,0.0000
h3,cpu,1048576,7,0.1250,131072,21039806.80,15897350.31,0.022957,0.0000,0.0000
h3,cpu,1048576,7,0.2500,262144,21331793.51,14970256.68,0.264248,0.0000,0.0000
h3,cpu,8388608,3,0.0625,524288,24442782.25,15883728.57,0.004953,0.0000,0.0000
h3,cpu,8388608,3,0.1250,1048576,26242254.18,16046624.24,0.030878,0.0000,0.0000
h3,cpu,8388608,3,0.2500,2097152,32753993.57,16945361.43,0.146853,0.0000,0.0000
h3,cpu,8388608,5,0.0625,524288,22688578.95,14682249.31,0.001247,0.0000,0.0000
h3,cpu,8388608,5,0.1250,1048576,22388153.23,11550264.23,0.021875,0.0000,0.0000
h3,cpu,8388608,5,0.2500,2097152,18282374.97,14455350.43,0.184306,0.0000,0.0000
h3,cpu,8388608,7,0.0625,524288,17117182.97,10616524.80,0.000719,0.0000,0.0000
h3,cpu,8388608,7,0.1250,1048576,14617662.83,8242865.24,0.022928,0.0000,0.0000
h3,cpu,8388608,7,0.2500,2097152,13798940.73,8374846.92,0.261930,0.0000,0.0000
h3,cpu,67108864,3,0.0625,4194304,13247439.09,7676298.19,0.004990,0.0000,0.0000
h3,cpu,67108864,3,0.1250,8388608,13371365.70,7691568.57,0.030574,0.0000,0.0000
h3,cpu,67108864,3,0.2500,16777216,13422362.36,7721816.67,0.146950,0.0000,0.0000
h3,cpu,67108864,5,0.0625,4194304,7346954.09,5149963.23,0.001388,0.0000,0.0000
h3,cpu,67108864,5,0.1250,8388608,7183779.53,5160490.46,0.021619,0.0000,0.0000
h3,cpu,67108864,5,0.2500,16777216,7184140.16,5155160.50,0.184856,0.0000,0.0000
h3,cpu,67108864,7,0.0625,4194304,4507954.67,3805040.50,0.000695,0.0000,0.0000
h3,cpu,67108864,7,0.1250,8388608,4590973.29,3792545.64,0.022823,0.0000,0.0000
h3,cpu,67108864,7,0.2500,16777216,4551745.45,3794885.27,0.262677,0.0000,0.0000
five-cycle,cpu,1048576,3,0.0625,65536,67209379.12,42645122.00,0.004837,0.0000,0.0000
five-cycle,cpu,1048576,3,0.1250,131072,70068559.97,45405480.31,0.030754,0.0000,0.0000
five-cycle,cpu,1048576,3,0.2500,262144,67343603.33,43821715.51,0.147911,0.0000,0.0000
five-cycle,cpu,1048576,5,0.0625,65536,48562056.00,30371773.38,0.001251,0.0000,0.0000
five-cycle,cpu,1048576,5,0.1250,131072,50930129.99,31817453.57,0.021889,0.0000,0.0000
five-cycle,cpu,1048576,5,0.2500,262144,50671796.01,31726955.31,0.185467,0.0000,0.0000
five-cycle,cpu,1048576,7,0.0625,65536,41331857.56,24080227.25,0.000763,0.0000,0.0000
five-cycle,cpu,1048576,7,0.1250,131072,41832201.40,25044429.44,0.023048,0.0000,0.0000
five-cycle,cpu,1048576,7,0.2500,262144,41466434.75,25118146.14,0.264339,0.0000,0.0000
five-cycle,cpu,8388608,3,0.0625,524288,34296480.53,22745850.07,0.005072,0.0000,0.0000
five-cycle,cpu,8388608,3,0.1250,1048576,36100541.38,22716604.07,0.030516,0.0000,0.0000
five-cycle,cpu,8388608,3,0.2500,2097152,36585530.31,25216778.54,0.147169,0.0000,0.0000
five-cycle,cpu,8388608,5,0.0625,524288,26775134.23,12915628.30,0.001377,0.0000,0.0000
five-cycle,cpu,8388608,5,0.1250,1048576,27204005.55,13365441.55,0.021728,0.0000,0.0000
five-cycle,cpu,8388608,5,0.2500,2097152,25582165.87,17059003.58,0.184542,0.0000,0.0000
five-cycle,cpu,8388608,7,0.0625,524288,15389367.39,12537890.74,0.000639,0.0000,0.0000
five-cycle,cpu,8388608,7,0.1250,1048576,19152130.08,11223387.03,0.022809,0.0000,0.0000
five-cycle,cpu,8388608,7,0.2500,2097152,22642763.59,13506005.59,0.262902,0.0000,0.0000
five-cycle,cpu,67108864,3,0.0625,4194304,15835261.91,9529676.35,0.004987,0.0000,0.0000
five-cycle,cpu,67108864,3,0.1250,8388608,15843753.68,9542417.32,0.030620,0.0000,0.0000
five-cycle,cpu,67108864,3,0.2500,16777216,15744864.66,9439250.06,0.146754,0.0000,0.0000
five-cycle,cpu,67108864,5,0.0625,4194304,9527110.45,6634715.10,0.001410,0.0000,0.0000
five-cycle,cpu,67108864,5,0.1250,8388608,9435312.90,6647270.30,0.021757,0.0000,0.0000
five-cycle,cpu,67108864,5,0.2500,16777216,9534415.65,6630890.72,0.185006,0.0000,0.0000
five-cycle,cpu,67108864,7,0.0625,4194304,6668249.81,4995777.18,0.000707,0.0000,0.0000
five-cycle,cpu,67108864,7,0.1250,8388608,6676331.71,5130032.04,0.022968,0.0000,0.0000
five-cycle,cpu,67108864,7,0.2500,16777216,6686711.04,5019698.66,0.263017,0.0000,0.0000
multiplicative,pim-v2,1048576,3,0.0625,65536,4770070601.94,6871762608.79,0.007477,0.0564,0.0238
multiplicative,pim-v2,1048576,3,0.1250,131072,9540141203.87,13743525217.57,0.035995,0.0564,0.0238
multiplicative,pim-v2,1048576,3,0.2500,262144,19080282407.74,27487050435.15,0.158165,0.0564,0.0238
multiplicative,pim-v2,1048576,5,0.0625,65536,4770070601.94,6871762608.79,0.001953,0.0564,0.0238
multiplicative,pim-v2,1048576,5,0.1250,131072,9540141203.87,13743525217.57,0.025269,0.0564,0.0238
multiplicative,pim-v2,1048576,5,0.2500,262144,19080282407.74,27487050435.15,0.192093,0.0564,0.0238
multiplicative,pim-v2,1048576,7,0.0625,65536,4770070601.94,6871762608.79,0.000961,0.0564,0.0238
multiplicative,pim-v2,1048576,7,0.1250,131072,9540141203.87,13743525217.57,0.025818,0.0564,0.0238
