hash_scheme,variant,m,k,load_factor,n,insert_throughput_eps,query_throughput_eps,fpr,insert_energy_mj,query_energy_mj
murmur3,cpu,1048576,5,0.2500,262144,48643625.47,33437886.25,0.185848,0.0000,0.0000
murmur3,cpu,1048576,7,0.0625,65536,38182063.94,25554540.87,0.000519,0.0000,0.0000
murmur3,cpu,1048576,7,0.1250,131072,38025324.30,25120536.30,0.023026,0.0000,0.0000
murmur3,cpu,1048576,7,0.2500,262144,39819930.50,25592479.71,0.263954,0.0000,0.0000
murmur3,cpu,8388608,3,0.0625,524288,33503722.91,27347943.54,0.005144,0.0000,0.0000
murmur3,cpu,8388608,3,0.1250,1048576,40610577.71,24788531.45,0.030930,0.0000,0.0000
murmur3,cpu,8388608,3,0.2500,2097152,38568095.60,26764325.94,0.147609,0.0000,0.0000
murmur3,cpu,8388608,5,0.0625,524288,26087754.39,18505912.83,0.001577,0.0000,0.0000
murmur3,cpu,8388608,5,0.1250,1048576,25413721.02,16629182.22,0.021894,0.0000,0.0000
murmur3,cpu,8388608,5,0.2500,2097152,27832010.36,16599992.62,0.185433,0.0000,0.0000
murmur3,cpu,8388608,7,0.0625,524288,21371379.36,14415070.32,0.000982,0.0000,0.0000
murmur3,cpu,8388608,7,0.1250,1048576,19406551.61,13578977.12,0.023427,0.0000,0.0000
murmur3,cpu,8388608,7,0.2500,2097152,22022731.25,14366063.19,0.263697,0.0000,0.0000
murmur3,cpu,67108864,3,0.0625,4194304,15749941.50,9814655.77,0.006189,0.0000,0.0000
murmur3,cpu,67108864,3,0.1250,8388608,15961461.28,9921645.97,0.032664,0.0000,0.0000
murmur3,cpu,67108864,3,0.2500,16777216,15850314.09,9984948.77,0.149699,0.0000,0.0000
murmur3,cpu,67108864,5,0.0625,4194304,9622692.06,6638382.56,0.003008,0.0000,0.0000
murmur3,cpu,67108864,5,0.1250,8388608,9624511.26,6680749.26,0.025227,0.0000,0.0000
murmur3,cpu,67108864,5,0.2500,16777216,9601051.72,6748246.16,0.189449,0.0000,0.0000
murmur3,cpu,67108864,7,0.0625,4194304,6856244.87,5358183.36,0.002677,0.0000,0.0000
murmur3,cpu,67108864,7,0.1250,8388608,6862426.82,5413044.59,0.027904,0.0000,0.0000
murmur3,cpu,67108864,7,0.2500,16777216,6888022.34,5300923.16,0.268098,0.0000,0.0000
xor-shift,cpu,1048576,3,0.0625,65536,68634648.47,45537579.83,0.069992,0.0000,0.0000
xor-shift,cpu,1048576,3,0.1250,131072,65132795.43,46249774.61,0.150826,0.0000,0.0000
xor-shift,cpu,1048576,3,0.2500,262144,65445162.11,46686633.53,0.317509,0.0000,0.0000
xor-shift,cpu,1048576,5,0.0625,65536,46972106.73,33713269.51,0.066223,0.0000,0.0000
xor-shift,cpu,1048576,5,0.1250,131072,19157870.46,17210721.30,0.147850,0.0000,0.0000
xor-shift,cpu,1048576,5,0.2500,262144,42190512.67,32864119.33,0.355667,0.0000,0.0000
xor-shift,cpu,1048576,7,0.0625,65536,38621629.31,25324369.95,0.063492,0.0000,0.0000
xor-shift,cpu,1048576,7,0.1250,131072,38869939.08,25815127.75,0.148651,0.0000,0.0000
xor-shift,cpu,1048576,7,0.2500,262144,40874298.09,26085262.30,0.405075,0.0000,0.0000
xor-shift,cpu,8388608,3,0.0625,524288,28931648.89,23227556.85,0.070992,0.0000,0.0000
xor-shift,cpu,8388608,3,0.1250,1048576,37444236.32,24296744.23,0.151753,0.0000,0.0000
xor-shift,cpu,8388608,3,0.2500,2097152,38928762.56,26373936.93,0.318725,0.0000,0.0000
xor-shift,cpu,8388608,5,0.0625,524288,27614769.83,19373371.10,0.066605,0.0000,0.0000
xor-shift,cpu,8388608,5,0.1250,1048576,26392766.94,15912699.17,0.149148,0.0000,0.0000
xor-shift,cpu,8388608,5,0.2500,2097152,28071475.10,18088021.96,0.355693,0.0000,0.0000
xor-shift,cpu,8388608,7,0.0625,524288,21132813.24,13589909.16,0.064302,0.0000,0.0000
xor-shift,cpu,8388608,7,0.1250,1048576,21088096.69,13916949.16,0.148922,0.0000,0.0000
xor-shift,cpu,8388608,7,0.2500,2097152,21743216.32,13115786.17,0.405054,0.0000,0.0000
xor-shift,cpu,67108864,3,0.0625,4194304,15979326.31,10212958.65,0.070463,0.0000,0.0000
xor-shift,cpu,67108864,3,0.1250,8388608,15973158.20,10078303.18,0.151258,0.0000,0.0000
xor-shift,cpu,67108864,3,0.2500,16777216,15828924.94,10066697.70,0.318604,0.0000,0.0000
xor-shift,cpu,67108864,5,0.0625,4194304,9570745.72,6609190.42,0.065887,0.0000,0.0000
xor-shift,cpu,67108864,5,0.1250,8388608,9571165.79,6702985.62,0.148656,0.0000,0.0000
xor-shift,cpu,67108864,5,0.2500,16777216,9502567.94,6713023.87,0.355567,0.0000,0.0000
xor-shift,cpu,67108864,7,0.0625,4194304,6742697.92,5167176.15,0.063707,0.0000,0.0000
xor-shift,cpu,67108864,7,0.1250,8388608,6653010.89,4956511.22,0.148903,0.0000,0.0000
xor-shift,cpu,67108864,7,0.2500,16777216,6813107.66,5185483.24,0.404993,0.0000,0.0000
h3,cpu,1048576,3,0.0625,65536,44063295.27,32935377.59,0.005020,0.0000,0.0000
h3,cpu,1048576,3,0.1250,131072,47012963.07,31780138.24,0.030525,0.0000,0.0000
h3,cpu,1048576,3,0.2500,262144,46120283.18,31294969.27,0.147812,0.0000,0.0000
h3,cpu,1048576,5,0.0625,65536,28789607.35,20651790.63,0.001495,0.0000,0.0000
h3,cpu,1048576,5,0.1250,131072,27385565.62,21132195.69,0.021423,0.0000,0.0000
h3,cpu,1048576,5,0.2500,262144,28534748.75,20694457.63,0.184978,0.0000,0.0000
h3,cpu,1048576,7,0.0625,65536,20851230.09,15551844.15,0.000595,0.0000,0.0000
h3,cpu,1048576,7,0.1250,131072,20605804.88,15422733.78,0.022957,0.0000,0.0000
h3,cpu,1048576,7,0.2500,262144,20117612.64,14988657.19,0.264248,0.0000,0.0000
h3,cpu,8388608,3,0.0625,524288,28745010.08,19075586.06,0.004953,0.0000,0.0000
h3,cpu,8388608,3,0.1250,1048576,31332302.96,19464527.61,0.030878,0.0000,0.0000
h3,cpu,8388608,3,0.2500,2097152,31998392.17,18786584.77,0.146853,0.0000,0.0000
h3,cpu,8388608,5,0.0625,524288,19461265.83,13342376.40,0.001247,0.0000,0.0000
h3,cpu,8388608,5,0.1250,1048576,19290781.71,13161121.44,0.021875,0.0000,0.0000
h3,cpu,8388608,5,0.2500,2097152,19681629.68,11461766.06,0.184306,0.0000,0.0000
h3,cpu,8388608,7,0.0625,524288,13845693.28,8837363.22,0.000719,0.0000,0.0000
h3,cpu,8388608,7,0.1250,1048576,13841769.74,8718110.09,0.022928,0.0000,0.0000
h3,cpu,8388608,7,0.2500,2097152,14142524.07,8649404.96,0.261930,0.0000,0.0000
h3,cpu,67108864,3,0.0625,4194304,13198550.55,7746195.98,0.004990,0.0000,0.0000
h3,cpu,67108864,3,0.1250,8388608,13232773.37,7682456.87,0.030574,0.0000,0.0000
h3,cpu,67108864,3,0.2500,16777216,13295548.34,7677186.70,0.146950,0.0000,0.0000
h3,cpu,67108864,5,0.0625,4194304,7090604.96,5169205.20,0.001388,0.0000,0.0000
h3,cpu,67108864,5,0.1250,8388608,7177742.64,4915026.23,0.021619,0.0000,0.0000
h3,cpu,67108864,5,0.2500,16777216,7119325.62,5141436.63,0.184856,0.0000,0.0000
h3,cpu,67108864,7,0.0625,4194304,4684946.20,3841211.87,0.000695,0.0000,0.0000
h3,cpu,67108864,7,0.1250,8388608,4678879.05,3802429.88,0.022823,0.0000,0.0000
h3,cpu,67108864,7,0.2500,16777216,4664661.05,3810546.00,0.262677,0.0000,0.0000
five-cycle,cpu,1048576,3,0.0625,65536,65330991.35,45184620.85,0.004837,0.0000,0.0000
five-cycle,cpu,1048576,3,0.1250,131072,65119107.47,42623751.54,0.030754,0.0000,0.0000
five-cycle,cpu,1048576,3,0.2500,262144,66489914.18,43509839.77,0.147911,0.0000,0.0000
five-cycle,cpu,1048576,5,0.0625,65536,51089638.40,31257810.16,0.001251,0.0000,0.0000
five-cycle,cpu,1048576,5,0.1250,131072,48406008.95,30110292.45,0.021889,0.0000,0.0000
five-cycle,cpu,1048576,5,0.2500,262144,49102544.53,30037511.37,0.185467,0.0000,0.0000
five-cycle,cpu,1048576,7,0.0625,65536,40051482.19,24159730.86,0.000763,0.0000,0.0000
five-cycle,cpu,1048576,7,0.1250,131072,39270791.45,23382632.29,0.023048,0.0000,0.0000
five-cycle,cpu,1048576,7,0.2500,262144,40349412.52,23944884.67,0.264339,0.0000,0.0000
five-cycle,cpu,8388608,3,0.0625,524288,35567012.76,26081214.97,0.005072,0.0000,0.0000
five-cycle,cpu,8388608,3,0.1250,1048576,38677430.30,25448809.47,0.030516,0.0000,0.0000
five-cycle,cpu,8388608,3,0.2500,2097152,39544259.14,25747466.48,0.147169,0.0000,0.0000
five-cycle,cpu,8388608,5,0.0625,524288,26096866.24,18716954.96,0.001377,0.0000,0.0000
five-cycle,cpu,8388608,5,0.1250,1048576,29651062.69,17973856.10,0.021728,0.0000,0.0000
five-cycle,cpu,8388608,5,0.2500,2097152,28763183.73,17853515.31,0.184542,0.0000,0.0000
five-cycle,cpu,8388608,7,0.0625,524288,21735571.41,13222439.51,0.000639,0.0000,0.0000
five-cycle,cpu,8388608,7,0.1250,1048576,23026137.66,14012009.21,0.022809,0.0000,0.0000
five-cycle,cpu,8388608,7,0.2500,2097152,22889280.51,13839935.31,0.262902,0.0000,0.0000
five-cycle,cpu,67108864,3,0.0625,4194304,15962827.77,9704960.30,0.004987,0.0000,0.0000
five-cycle,cpu,67108864,3,0.1250,8388608,15959765.28,9461516.10,0.030620,0.0000,0.0000
five-cycle,cpu,67108864,3,0.2500,16777216,15884850.14,9567202.47,0.146754,0.0000,0.0000
five-cycle,cpu,67108864,5,0.0625,4194304,9715347.72,6678884.48,0.001410,0.0000,0.0000
five-cycle,cpu,67108864,5,0.1250,8388608,9736133.18,6681682.90,0.021757,0.0000,0.0000
five-cycle,cpu,67108864,5,0.2500,16777216,9701682.84,6686350.50,0.185006,0.0000,0.0000
five-cycle,cpu,67108864,7,0.0625,4194304,6971477.91,5065982.39,0.000707,0.0000,0.0000
five-cycle,cpu,67108864,7,0.1250,8388608,6970971.62,5033967.93,0.022968,0.0000,0.0000
five-cycle,cpu,67108864,7,0.2500,16777216,6978019.55,5037891.34,0.263017,0.0000,0.0000
multiplicative,pim-v2,1048576,3,0.0625,65536,4770070601.94,6871762608.79,0.007477,0.0564,0.0238
multiplicative,pim-v2,1048576,3,0.1250,131072,9540141203.87,13743525217.57,0.035995,0.0564,0.0238
multiplicative,pim-v2,1048576,3,0.2500,262144,19080282407.74,27487050435.15,0.158165,0.0564,0.0238
multiplicative,pim-v2,1048576,5,0.0625,65536,4770070601.94,6871762608.79,0.001953,0.0564,0.0238
multiplicative,pim-v2,1048576,5,0.1250,131072,9540141203.87,13743525217.57,0.025269,0.0564,0.0238
multiplicative,pim-v2,1048576,5,0.2500,262144,19080282407.74,27487050435.15,0.192093,0.0564,0.0238
multiplicative,pim-v2,1048576,7,0.0625,65536,4770070601.94,6871762608.79,0.000961,0.0564,0.0238
multiplicative,pim-v2,1048576,7,0.1250,131072,9540141203.87,13743525217.57,0.025818,0.0564,0.0238
multiplicative,pim-v2,1048576,7,0.2500,262144,19080282407.74,27487050435.15,0.267872,0.0564,0.0238
multiplicative,pim-v2,8388608,3,0.0625,524288,4769810222.17,6871942747.79,0.007355,0.4515,0.1904
multiplicative,pim-v2,8388608,3,0.1250,1048576,9539620444.33,13743885495.58,0.036747,0.4515,0.1904
multiplicative,pim-v2,8388608,3,0.2500,2097152,19079240888.66,27487770991.17,0.156799,0.4515,0.1904
multiplicative,pim-v2,8388608,5,0.0625,524288,4769810222.17,6871942747.79,0.002062,0.4515,0.1904
