hash_scheme,variant,m,k,load_factor,n,insert_throughput_eps,query_throughput_eps,fpr,insert_energy_mj,query_energy_mj
xor-shift,cpu,2097152,3,0.1250,262144,18919559.11,8918957.16,0.150730,0.0000,0.0000
xor-shift,cpu,2097152,3,0.2500,524288,19177057.53,8899390.59,0.318657,0.0000,0.0000
murmur3,cpu,2097152,3,0.1250,262144,16678736.20,7926754.21,0.031090,0.0000,0.0000
murmur3,cpu,2097152,3,0.2500,524288,16875800.38,7979535.76,0.147219,0.0000,0.0000
jenkins,cpu,2097152,3,0.1250,262144,14556085.86,7182320.20,0.029961,0.0000,0.0000
jenkins,cpu,2097152,3,0.2500,524288,14516616.88,7048600.95,0.146839,0.0000,0.0000
----------------------------------------
PIM-Config: Debug Flags = 0x0
PIM-Config: Simulator Config File: <NONE>
PIM-Config: Memory Config File: <DEFAULT>
PIM-Config: Memory Protocol: DDR
PIM-Config: Current Device = PIM_DEVICE_BANK_LEVEL, Simulation Target = PIM_DEVICE_BANK_LEVEL
PIM-Config: #ranks = 4, #banksPerRank = 128, #subarraysPerBank = 32, #rowsPerSubarray = 1024, #colsPerSubarray = 8192
PIM-Config: Number of Threads = 40
PIM-Config: Load Balanced = 1
----------------------------------------
PIM-Info: Aggregate all subarrays within a bank as a single core
PIM-Info: Created performance energy model for bank-level PIM
PIM-Info: Created PIM device with 512 cores of 32768 rows and 8192 columns.
PIM-Info: Created thread pool with 39 threads.
xor-shift,pim-v2,2097152,3,0.1250,262144,9539446870.45,13744245792.48,0.150730,0.1129,0.0476
xor-shift,pim-v2,2097152,3,0.2500,524288,19078893740.90,27488491584.96,0.318657,0.1129,0.0476
murmur3,pim-v2,2097152,3,0.1250,262144,9539446870.45,13744245792.48,0.031090,0.1129,0.0476
murmur3,pim-v2,2097152,3,0.2500,524288,19078893740.90,27488491584.96,0.147219,0.1129,0.0476
jenkins,pim-v2,2097152,3,0.1250,262144,9539446870.45,13744245792.48,0.029961,0.1129,0.0476
jenkins,pim-v2,2097152,3,0.2500,524288,19078893740.90,27488491584.96,0.146839,0.1129,0.0476
xor-shift,pim-v3,2097152,3,0.1250,262144,994314281.05,1027065147.55,0.150730,1.5604,1.4951
xor-shift,pim-v3,2097152,3,0.2500,524288,1049310517.36,1067263788.94,0.318657,3.0068,2.9416
xor-shift,pim-v4,2097152,3,0.1250,262144,1557830931.51,1639742539.20,0.150730,1.3223,1.2570
xor-shift,pim-v4,2097152,3,0.2500,524288,1598492632.37,1640537825.85,0.318657,2.5784,2.5131
jenkins,pim-v3,2097152,3,0.1250,262144,553289207.08,563281741.86,0.029961,3.2103,3.1450
jenkins,pim-v3,2097152,3,0.2500,524288,569909234.20,575164775.37,0.146839,6.3067,6.2414
jenkins,pim-v4,2097152,3,0.1250,262144,692723789.39,708460916.87,0.029961,2.9722,2.9070
jenkins,pim-v4,2097152,3,0.2500,524288,700649080.77,708609334.18,0.146839,5.8782,5.8129

hash_scheme,variant,m,k,load_factor,n,insert_throughput_eps,delete_throughput_eps,query_throughput_eps,fpr,fnr_kept,fpr_deleted,insert_energy_mj,delete_energy_mj,query_energy_mj
xor-shift,cpu-counting,2097152,3,0.1250,262144,9284875.72,12002616.05,8235875.60,0.070328,0.000000,0.070045,0.0000,0.0000,0.0000
xor-shift,cpu-counting,2097152,3,0.2500,524288,10955911.47,13397262.11,8710343.27,0.151184,0.000000,0.150787,0.0000,0.0000,0.0000
murmur3,cpu-counting,2097152,3,0.1250,262144,12697059.58,12296326.15,7750867.15,0.005085,0.000000,0.005165,0.0000,0.0000,0.0000
murmur3,cpu-counting,2097152,3,0.2500,524288,12945464.22,12195537.25,7750955.38,0.030750,0.000000,0.030525,0.0000,0.0000,0.0000
jenkins,cpu-counting,2097152,3,0.1250,262144,11026125.26,10188094.84,6858895.62,0.004906,0.000000,0.005196,0.0000,0.0000,0.0000
jenkins,cpu-counting,2097152,3,0.2500,524288,7956209.77,10038814.32,6814936.63,0.030788,0.000000,0.030464,0.0000,0.0000,0.0000
xor-shift,pim-counting-v2,2097152,3,0.1250,262144,9539794024.53,4769723435.23,6872122896.24,0.070328,0.000000,0.070045,0.1131,0.1131,0.0476
xor-shift,pim-counting-v2,2097152,3,0.2500,524288,19079588049.06,9539446870.45,13744245792.48,0.151184,0.000000,0.150787,0.1131,0.1131,0.0476
murmur3,pim-counting-v2,2097152,3,0.1250,262144,9539794024.53,4769723435.23,6872122896.24,0.005085,0.000000,0.005165,0.1131,0.1131,0.0476
murmur3,pim-counting-v2,2097152,3,0.2500,524288,19079588049.06,9539794024.53,13743525217.57,0.030750,0.000000,0.030525,0.1131,0.1131,0.0476
jenkins,pim-counting-v2,2097152,3,0.1250,262144,9539446870.45,4769897012.26,6871762608.79,0.004906,0.000000,0.005196,0.1131,0.1131,0.0476
jenkins,pim-counting-v2,2097152,3,0.2500,524288,19078893740.90,9539794024.53,13743525217.57,0.030788,0.000000,0.030464,0.1131,0.1131,0.0476
xor-shift,pim-counting-v3,2097152,3,0.1250,262144,994314281.05,581263442.65,603768022.48,0.070328,0.000000,0.070045,1.5605,1.4653,1.3999
xor-shift,pim-counting-v4,2097152,3,0.1250,262144,1557830931.51,778915465.76,819871269.60,0.070328,0.000000,0.070045,1.3225,1.3225,1.2570
xor-shift,pim-counting-v3,2097152,3,0.2500,524288,1049310517.36,619203178.40,631748403.42,0.151184,0.000000,0.150787,3.0070,2.8166,2.7511
xor-shift,pim-counting-v4,2097152,3,0.2500,524288,1598492632.37,799246316.19,820268912.93,0.151184,0.000000,0.150787,2.5786,2.5786,2.5131
jenkins,pim-counting-v3,2097152,3,0.1250,262144,553289207.08,300868136.06,306788472.03,0.004906,0.000000,0.005196,3.2105,3.1152,3.0498
jenkins,pim-counting-v4,2097152,3,0.1250,262144,692723789.39,346361894.70,354230458.44,0.004906,0.000000,0.005196,2.9724,2.9724,2.9070
jenkins,pim-counting-v3,2097152,3,0.2500,524288,569908614.70,310723802.12,313850942.83,0.030788,0.000000,0.030464,6.3068,6.1164,6.0510
jenkins,pim-counting-v4,2097152,3,0.2500,524288,700649080.77,350324540.38,354304667.09,0.030788,0.000000,0.030464,5.8784,5.8784,5.8129

hash_scheme,variant,m,k,load_factor,n,insert_throughput_eps,query_throughput_eps,fpr,insert_energy_mj,query_energy_mj
xor-shift,cuckoo-cpu,2097152,0,0.1250,262144,4622617.71,6138685.19,0.117313,0.0000,0.0000
xor-shift,cuckoo-cpu,2097152,0,0.2500,524288,5137372.04,6032820.68,0.221237,0.0000,0.0000
murmur3,cuckoo-cpu,2097152,0,0.1250,262144,3635405.84,4484305.01,0.000072,0.0000,0.0000
murmur3,cuckoo-cpu,2097152,0,0.2500,524288,3583488.86,4472608.94,0.000162,0.0000,0.0000
jenkins,cuckoo-cpu,2097152,0,0.1250,262144,3378006.29,4314729.55,0.000008,0.0000,0.0000
jenkins,cuckoo-cpu,2097152,0,0.2500,524288,3346530.87,4256824.84,0.000015,0.0000,0.0000
