source,variant,hash_scheme,m,k,n,num_query,empirical_fpr,theoretical_fpr,no_false_negatives,insert_ms,query_ms,insert_energy_mj,query_energy_mj,insert_eps,query_eps
bloom-cpp,pim-v2,h3,8192,3,500,500,0.006000,0.004684,PASS,0.0002,0.0001,0.0013,0.0002,2032520325.20,6756756756.76
bloom-cpp,pim-v3,h3,8192,3,500,500,0.006000,0.004684,PASS,0.0002,0.0001,0.0013,0.0002,2032520325.20,6756756756.76
bloom-cpp,pim-v4,h3,8192,3,500,500,0.006000,0.004684,PASS,0.0002,0.0000,0.0011,0.0000,2923976608.19,0.00
bloom-cpp,cpu,five-cycle,8192,3,500,500,0.006000,0.004684,PASS,0.0039,0.0053,0.0000,0.0000,128205128.21,94037991.35
bloom-cpp,pim-v2,five-cycle,8192,3,500,500,0.006000,0.004684,PASS,0.0002,0.0001,0.0013,0.0002,2032520325.20,6756756756.76
bloom-cpp,pim-v3,five-cycle,8192,3,500,500,0.006000,0.004684,PASS,0.0037,0.0035,0.0226,0.0215,136948781.16,143678160.92
bloom-cpp,pim-v4,five-cycle,8192,3,500,500,0.006000,0.004684,PASS,0.0034,0.0033,0.0220,0.0209,145730107.84,153374233.13
bloom-cpp,cpu,multiplicative,8192,3,2000,2000,0.152000,0.140006,PASS,0.0212,0.0321,0.0000,0.0000,94201874.62,62348026.68
bloom-cpp,pim-v2,multiplicative,8192,3,2000,2000,0.152000,0.140006,PASS,0.0002,0.0001,0.0013,0.0002,8130081300.81,27027027027.04
bloom-cpp,pim-v3,multiplicative,8192,3,2000,2000,0.152000,0.140006,PASS,0.0018,0.0016,0.0092,0.0081,1115448968.21,1233045622.69
bloom-cpp,pim-v4,multiplicative,8192,3,2000,2000,0.152000,0.140006,PASS,0.0011,0.0010,0.0076,0.0065,1760563380.28,2072538860.10
bloom-cpp,cpu,kirsch-mitz,8192,3,2000,2000,0.127500,0.140006,PASS,0.0094,0.0151,0.0000,0.0000,212426978.23,132546888.46
bloom-cpp,pim-v2,kirsch-mitz,8192,3,2000,2000,0.127500,0.140006,PASS,0.0002,0.0001,0.0013,0.0002,8163265306.12,26666666666.67
bloom-cpp,pim-v3,kirsch-mitz,8192,3,2000,2000,0.127500,0.140006,PASS,0.0031,0.0029,0.0179,0.0167,649350649.35,687757909.22
bloom-cpp,pim-v4,kirsch-mitz,8192,3,2000,2000,0.127500,0.140006,PASS,0.0024,0.0023,0.0162,0.0151,825423029.30,888099467.14
